,,,,,,,,,,,,,,,,
,ARTÍCULOS VENDIDOS,,,,,,,,,,,,,,,
,CÓDIGO,DESCRIPCIÓN,UNID.,IMPORTE BRUTO,DTO,"IVA 21% + RECARGO 5,2%",PRECIO CON MARGEN 25%,P.V.P     WEB,P.V.P FINAL CLIENTE,,VENDIDAS,QUEDAN EN TIENDA,,BENEFICIO UNITARIO,BENEFICIO TOTAL,
,,,,,,,,,,,,,,,,
,LAVADORAS,,,,,,,,,,,,,,,
,CBM17655EX,COMBI BENAVENT 176X55 INOX,1,"  185,91 € ","  185,91 € ","  234,62 € ","  293,27 € ","  359,68 € ","  330,00 € ",,,,,"  95,38 € ","  95,38 € ",
,RB440N4BWE,FRIGORÍFICO COMBI HISENSE,1,"  366,50 € ","  366,50 € ","  462,52 € ","  578,15 € ","  571,48 € ","  565,00 € ",,,,,"  102,48 € ","  102,48 € ",
,RB33B612ESAEF,COMBI SAMSUNG,1,"  443,84 € ","  443,84 € ","  560,13 € ","  700,16 € ","  671,30 € ","  669,00 € ",,,,,"  108,87 € ","  108,87 € ",
,CFSBSH730NFX,AMERICANO CORBERÓ 442L INOX,2,"  416,13 € ","  416,13 € ","  525,16 € ","  656,45 € ","  688,64 € ","  679,00 € ",,2,0,,"  153,84 € ","  307,69 € ",
FOLLETO,CCH1821EX,FRIGORIDÍCO COMBI CORBERO ,2,"  264,71 € ","  264,71 € ","  334,06 € ","  417,58 € ","  400,38 € ","  350,00 € ",,2,0,,"  15,94 € ","  31,87 € ",
,CF2PV24022W,FRIG 2P. CORBERÓ,3,"  195,70 € ","  195,70 € ","  246,97 € ","  308,72 € ","  323,84 € ","  295,00 € ",,3,0,,"  48,03 € ","  144,08 € ",
,CCH322EW,"COMBI CORBERÓ BLANCO 1,86",8,"  265,62 € ","  265,62 € ","  335,21 € ","  419,02 € ","  415,84 € ","  399,00 € ",,6,0,,"  63,79 € ","  510,30 € ",
3ºCAMION,CCHGL185NFW,COMBI CORBERÓ CRISTAL BLANCO,2,"  404,30 € ","  404,30 € ","  510,23 € ","  637,78 € ","  669,06 € ","  629,00 € ",,2,0,,"  118,77 € ","  237,55 € ",
,F1PBH18560W,"COOLER BENAVENT 1,85MM BLANCO",1,"  332,26 € ","  332,26 € ","  419,31 € ","  524,14 € ","  531,09 € ","  520,00 € ",,,,,"  100,69 € ","  100,69 € ",
,RB33B612ESAEF,COMBI SAMSUNG,1,"  430,52 € ","  430,52 € ","  543,32 € ","  679,15 € ","  671,30 € ","  569,00 € ",,1,0,,"  25,68 € ","  25,68 € ",
3ºCAMION,ECF2PH166W,FRIGO 2 PUERTAS ESTATICO 166X55,3,"  177,42 € ","  177,42 € ","  223,90 € ","  279,88 € ","  293,61 € ","  275,00 € ",,3,0,,"  51,10 € ","  153,29 € ",
,CNF200DSX,COMBI LEFT 2M,1,"  363,64 € ","  363,64 € ","  458,91 € ","  573,64 € ","  550,00 € ","  500,00 € ",,,,,"  41,09 € ","  41,09 € ",
,CCH18023X,COMBI CORBERÓ NF 253L INOX,1,"  241,17 € ","  241,17 € ","  304,36 € ","  380,45 € ","  367,48 € ","  350,00 € ",,,,,"  45,64 € ","  45,64 € ",
,FCV323INOXV,FRIGO COMBI ROMMER,1,"  289,28 € ","  289,28 € ","  365,07 € ","  456,34 € ","  437,54 € ","  350,03 € ",,,,,"- 15,04 € ","- 15,04 € ",TATE
,RSSE445K31WN,FRIGO 1P. BEKO BLANCO,1,"  327,65 € ","  327,65 € ","  413,49 € ","  516,87 € ","  495,57 € ","  490,00 € ",,,,,"  76,51 € ","  76,51 € ",
,RSSE445K31,FRIGORÍFICO 1P BEKO,1,"  359,33 € ","  359,33 € ","  453,47 € ","  566,84 € ",,"  540,00 € ",,,,,"  86,53 € ","  86,53 € ",
