ORBEGOZO,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_13,__EMPTY_14,__EMPTY_16,__EMPTY_17
"CÓDIGO","DESCRIPCIÓN","UNID.","IMPORTE BRUTO","33% DTO","3% DTO","3%DTO","5%DTO","IVA 21% + RECARGO 5,2%","MARGEN 30%","PVP WEB","P.V.P FINAL CLIENTE","BENEFICIO UNITARIO","BENEFICIO TOTAL","VENDIDAS","QUEDAN EN TIENDA"
"A/A",,,,,,,,,,,,,,,
,,,,"0","0","0","0","0","0",,,"0","0",,
"PLANCHAS-ROPA",,,,"0","0","0","0","0","0",,,"0","0",,
"SV1270","PLANCHA SIN VAPOR - 1200W","6","13.15","4.3395","0.264315","0.25638555","0.41448997250000014","9.938640560605002","12.920232728786504","13.15","12","2.061359439394998","12.368156636369989","2","4"
"SV2670","PLANCHA A VAPOR - 2600W","4","16.72","0","0.5015999999999999","0","0.81092","19.44423976","25.277511688","28.7","29","9.555760240000001","38.223040960000006","1","3"
"SV3000A","PLANCHA A VAPOR - 3000W","4","21.81","0","0.6542999999999999","0","1.057785","25.36356873","32.972639349000005","37.45","39","13.63643127","54.54572508",,
,,,,"0","0","0","0","0","0",,,"0","0",,
"SARTENES/OLLAS",,,,"0","0","0","0","0","0",,,"0","0",,
"HPE6075","OLLA A PRESION ELECTRICA 6L","1","78.5","25.905","1.57785","1.5305144999999998","2.474331775","59.32952730095","77.128385491235","78.5","79","19.670472699050002","19.670472699050002","1","3"
"PZ8100","PIZZAPAN","1","26.65","0","0","0.7994999999999999","1.292525","30.99216445","40.289813785",,"45","14.00783555","14.00783555",,
"SECADORES",,,,,"0","0","0",,,,,,,,
"SE2400","SECADOR 2400W","6","32","10.56","0.6431999999999999","0.6239039999999999","1.0086448","24.185285014399998","31.440870518719997","32","30","5.814714985600002","34.88828991360001","5","1"
,,,,"0","0","0","0","0","0",,,"0","0",,
"TERMOS",,,,"0","0","0","0","0","0",,,"0","0",,
"TRL354","BOTELLA TERMO - AZUL MARINO - 350ML","4","6.16","2.0328","0","0.12381600000000001","0.20016920000000002","4.799657077600001","6.239554200880002","6.16","6","1.200342922399999","4.801371689599996","1","3"
"TRL754","BOTELLA TERMO - AZUL MARINO - 350ML","4","9.37","3.0921","0","0.18833699999999998","0.30447814999999995","7.3007770807","9.49101020491","9.37","10","2.6992229193000004","10.796891677200001",,
"SET TRL 5000","EXPOSITOR 6 TERMOS BOTELLA/VASO TAPON","6","7.086","2.3383800000000003","0","0.1424286","0.23025956999999997","5.52116396946","7.177513160298","7.09","9","3.47883603054","20.87301618324",,
,,,,"0","0","0","0","0","0",,,"0","0",,
"TOSTADOR",,,,"0","0","0","0","0","0",,,"0","0",,
"TO4012","TOSTADOR RANURA LARGA","6","0","0","0","0","0","0","0","23","29","29","174","3","3"
"TO4014","TOSTADOR RANURA LARGA","6","13","0","0","0.39","0.6305","15.118129","19.6535677","23","25","9.881871","59.291226","4","2"
"TO4014","TOSTADOR RANURA LARGA","6","12","0","0","0.36","0.5820000000000001","13.955195999999999","18.1417548","23","25","11.044804000000001","66.26882400000001",,
"TO5030","TOSTADOR INOX","4","33","10.89","0","0.6633","1.0723349999999998","25.71244863","33.426183219","33","33","7.287551369999999","29.150205479999997","1","3"
"TO2020","TOSTADOR PLANO 800W","3","21.6","0","0","0.6480000000000001","1.0476","25.119352800000005","32.65515864000001","21.6","35","9.880647199999995","29.641941599999985","2","1"
,,,,"0","0","0","0","0","0",,,"0","0",,
"VENTILADORES",,,,,"0","0","0",,,,,,,,
"HF2100","VENTILADOR DE MANO","6","11.9","3.927","0.23919000000000004","0.2320143","0.37508978500000006","8.99390286473","11.692073724149001","11.9","12","3.00609713527","18.03658281162","3","3"
"SF1040","VENTILADOR DE PIE","3","29.8","9.834","0.5989800000000001","0.5810106","0.93930047","22.522546669660002","29.279310670558004","29.8","30","7.477453330339998","22.432359991019993","2","1"
"SF1140","VENTILADOR DE PIE","3","29.8","9.834","0.5989800000000001","0.5810106","0.93930047","22.522546669660002","29.279310670558004","29.8","29","6.477453330339998","19.432359991019993","2","1"
"TF0139","VENTILADOR DE SOBREMESA","4","36","11.88","0.7235999999999998","0.7018919999999998","1.1347253999999998","27.208445641199994","35.370979333559994","36","35","7.791554358800006","31.166217435200025","2","2"
"TF0143","VENTILADOR DE SOBREMESA 40","4","36.05","11.896499999999998","0.7246049999999999","0.70286685","1.1363014075000002","27.246235149035","35.420105693745505","36","35","7.753764850964998","31.015059403859993",,
"CP12205","VENTILADOR DE TECHO","1","153","50.49","3.0753","2.9830409999999996","4.82258295","115.63589397509999","150.32666216763","153","155","39.36410602490001","39.36410602490001",,
"CP12105","VENTILADOR DE TECHO","1","160.55","52.981500000000004","3.2270550000000005","3.1302433499999993","5.0605600825","121.34210965818498","157.74474255564047","160.55","159","37.65789034181502","37.65789034181502",,
,,,,"0","0","0","0","0","0",,,"0","0",,
"OTROS",,,,"0","0","0","0","0","0",,,"0","0",,
"ESP 1010","ESPEJO PARED VENTOSAS ZOOM/LUZ","4","10.45","3.4484999999999997","0","0.210045","0.33957275000000003","8.142275399499999","10.58495801935","10.45","10","1.857724600500001","7.430898402000004","3","1"
"PG02","ENCHUFE PROGRAMADOR MANUAL","6","5.3","1.749","0.10652999999999999","0.10333410000000001","0.16705679499999998","4.005687830509999","5.207394179663","5.3","5","0.9943121694900006","5.965873016940003","1","5"
"SETTRL 5500","SET TERMOS 6 BOTELLAS","1","47.25","15.5925","0.9497249999999999","0","1.5353887499999999","36.8155514475","47.86021688175",,"8","-28.8155514475","-28.8155514475",,
,"UNIDAD TERMO","8","7.8","2.574","0.15678","0","0.253461","6.077487858","7.9007342154","8","8","1.9225121420000004","15.380097136000003","1","7"
"TRL753","BOTELLA TERMO ","4","9.37","3.0921","0.18833699999999998","0","0.30447814999999995","7.3007770807","9.49101020491","9.37","12","4.6992229193","18.7968916772",,
"NO3500","CORTAPELOS NARIZ","6","8.45","2.7884999999999995","0.169845","0.16474965","0.26634526750000004","6.386426824115","8.3023548713495","8.45","8","1.6135731758849996","9.681439055309998","4","2"
"PC1009","PESO COCINA","4","9.75","0","0","0.2925","0.47287499999999993","11.338596749999999","14.740175774999999","9.75","15","3.661403250000001","14.645613000000004","1","3"
"AH3545","ALMOHADILLA ELECTRICA","4","22.4","7.3919999999999995","0.45024000000000003","0.4367327999999999","0.7060513599999999","16.92969951008","22.008609363104","22.4","20","3.070300489920001","12.281201959680004","1","3"
"MQ3006","MATA INSECTOS","4","16","5.28","0","0.32159999999999994","0.5199199999999999","12.46664176","16.206634288","16","15","2.53335824","10.13343296",,
"FCH4000","FUENTE DE CHOCOLATE 32W","2","27","8.91","0","0.5427","0.8773650000000001","21.03745797","27.348695360999997","27","29","7.962542030000002","15.925084060000003",,
"LI6000","LICUADORA OBERGOZO","2","86","28.38","1.7286000000000001","1.6767420000000002","2.7107329000000004","64.99795347620001","84.49733951906002","86","86","21.00204652379999","42.00409304759998","1","1"
